data,hora,sala,temperatura,hora_simples
10/06/2021,04:03:25,TH-Suporte,27.3,04
10/06/2021,07:00:00,TH teste,27.8,07
10/06/2021,07:00:00,TH-Caruru,27.2,07
10/06/2021,07:00:00,TH-Suporte,27.8,07
10/06/2021,08:00:00,TH-Caruru,27.2,08
10/06/2021,08:00:00,TH teste,27.8,08
10/06/2021,08:00:00,TH-Suporte,25.4,08
10/06/2021,09:00:00,TH-Suporte,24.4,09
10/06/2021,09:00:00,TH-Caruru,25.9,09
10/06/2021,09:00:01,TH teste,27.8,09
10/06/2021,10:00:00,TH-Caruru,25.8,10
10/06/2021,10:00:00,TH teste,27.8,10
10/06/2021,10:00:01,TH-Suporte,23.9,10
10/06/2021,11:00:00,TH-Caruru,25.8,11
10/06/2021,11:00:00,TH teste,27.8,11
10/06/2021,11:00:01,TH-Suporte,23.3,11
10/06/2021,12:00:00,TH teste,27.8,12
10/06/2021,12:00:00,TH-Suporte,22.4,12
10/06/2021,12:00:00,TH-Caruru,25.3,12
10/06/2021,13:00:00,TH-Suporte,22.4,13
10/06/2021,13:00:01,TH-Caruru,25.9,13
10/06/2021,13:00:01,TH teste,27.8,13
10/06/2021,14:00:00,TH-Suporte,22.3,14
10/06/2021,14:00:01,TH teste,27.8,14
10/06/2021,14:00:01,TH-Caruru,26.5,14
10/06/2021,15:00:00,TH-Caruru,26.5,15
10/06/2021,15:00:01,TH-Suporte,22.9,15
10/06/2021,15:00:01,TH teste,27.8,15
10/06/2021,16:00:00,TH-Suporte,23.2,16
10/06/2021,16:00:00,TH teste,27.8,16
10/06/2021,16:00:01,TH-Caruru,27.1,16
10/06/2021,17:00:00,TH-Suporte,22.6,17
10/06/2021,17:00:00,TH teste,27.8,17
10/06/2021,17:00:00,TH-Caruru,27.1,17
10/06/2021,18:00:00,TH-Caruru,27.1,18
10/06/2021,18:00:00,TH teste,27.8,18
10/06/2021,18:00:00,TH-Suporte,25.1,18
10/06/2021,19:00:00,TH teste,27.8,19
10/06/2021,19:00:00,TH-Suporte,25.7,19
10/06/2021,19:00:08,TH-Caruru,27.1,19
10/06/2021,20:00:00,TH teste,27.8,20
10/06/2021,20:00:01,TH-Suporte,26.3,20
10/06/2021,20:00:01,TH-Caruru,27.1,20
10/07/2021,07:00:00,TH-Suporte,27.6,07
10/07/2021,07:00:00,TH-Caruru,27.3,07
10/07/2021,07:00:00,TH teste,27.8,07
10/07/2021,08:00:00,TH-Caruru,27.3,08
10/07/2021,08:00:01,TH teste,27.8,08
10/07/2021,08:00:01,TH-Suporte,24.6,08
10/07/2021,09:00:00,TH teste,27.8,09
10/07/2021,09:00:00,TH-Caruru,27.3,09
10/07/2021,09:00:01,TH-Suporte,23.6,09
10/07/2021,10:00:00,TH teste,27.8,10
10/07/2021,10:00:01,TH-Caruru,27.3,10
10/07/2021,10:00:01,TH-Suporte,23.6,10
10/07/2021,11:00:00,TH-Suporte,23.6,11
10/07/2021,11:00:00,TH-Caruru,27.3,11
10/07/2021,11:00:01,TH teste,27.8,11
10/07/2021,12:00:03,TH teste,27.8,12
10/07/2021,12:00:03,TH-Suporte,23.5,12
10/07/2021,12:00:04,TH-Caruru,27.3,12
10/07/2021,13:00:00,TH-Caruru,27.8,13
10/07/2021,13:00:00,TH teste,27.8,13
10/07/2021,13:00:01,TH-Suporte,23.5,13
10/07/2021,14:00:00,TH-Caruru,27.8,14
10/07/2021,14:00:01,TH-Suporte,22.9,14
10/07/2021,14:00:01,TH teste,27.8,14
10/07/2021,15:00:00,TH-Suporte,22.9,15
10/07/2021,15:00:01,TH teste,27.8,15
10/07/2021,15:00:01,TH-Caruru,27.8,15
10/07/2021,16:00:00,TH teste,27.8,16
10/07/2021,16:00:00,TH-Suporte,22.6,16
10/07/2021,16:00:01,TH-Caruru,27.8,16
10/07/2021,17:00:00,TH-Suporte,22.8,17
10/07/2021,17:00:00,TH-Caruru,28.4,17
10/07/2021,17:00:01,TH teste,27.8,17
10/07/2021,18:00:00,TH teste,27.8,18
10/07/2021,18:00:00,TH-Caruru,28.4,18
10/07/2021,18:00:01,TH-Suporte,25.1,18
10/07/2021,19:00:00,TH-Caruru,28.4,19
10/07/2021,19:00:01,TH-Suporte,25.7,19
10/07/2021,19:00:01,TH teste,27.8,19
10/07/2021,20:00:00,TH teste,27.8,20
10/07/2021,20:00:01,TH-Suporte,26.3,20
10/07/2021,20:00:02,TH-Caruru,28.4,20
10/08/2021,07:00:00,TH-Suporte,27.8,07
10/08/2021,07:00:01,TH teste,27.8,07
10/08/2021,07:00:01,TH-Caruru,28.2,07
10/08/2021,08:00:01,TH-Suporte,24.2,08
10/08/2021,08:00:01,TH teste,27.8,08
10/08/2021,08:00:01,TH-Caruru,28.2,08
10/08/2021,09:00:00,TH-Caruru,28.2,09
10/08/2021,09:00:01,TH teste,27.8,09
10/08/2021,09:00:01,TH-Suporte,23.3,09
10/08/2021,10:00:00,TH-Suporte,22.9,10
10/08/2021,10:00:00,TH-Caruru,28.2,10
10/08/2021,10:00:01,TH teste,27.8,10
10/08/2021,11:00:00,TH teste,27.8,11
10/08/2021,11:00:01,TH-Caruru,28.2,11
10/08/2021,11:00:01,TH-Suporte,22.3,11
10/08/2021,12:00:02,TH teste,27.8,12
10/08/2021,12:00:02,TH-Suporte,22.1,12
10/08/2021,12:00:03,TH-Caruru,28.2,12
10/08/2021,13:00:01,TH teste,27.8,13
10/08/2021,13:00:01,TH-Caruru,28.2,13
10/08/2021,13:00:01,TH-Suporte,21.9,13
10/08/2021,14:00:00,TH teste,27.8,14
10/08/2021,14:00:00,TH-Suporte,21.9,14
10/08/2021,14:00:01,TH-Caruru,28.2,14
10/08/2021,15:00:00,TH-Caruru,28.2,15
10/08/2021,15:00:01,TH-Suporte,21.6,15
10/08/2021,15:00:01,TH teste,27.8,15
10/08/2021,16:00:01,TH-Suporte,24.0,16
10/08/2021,16:00:01,TH-Caruru,28.2,16
10/08/2021,16:00:01,TH teste,27.8,16
10/08/2021,17:00:00,TH-Caruru,28.2,17
10/08/2021,17:00:01,TH-Suporte,23.4,17
10/08/2021,17:00:02,TH teste,27.8,17
10/08/2021,18:00:00,TH-Suporte,25.8,18
10/08/2021,18:00:00,TH-Caruru,28.2,18
10/08/2021,18:00:00,TH teste,27.8,18
10/08/2021,19:00:00,TH teste,27.8,19
10/08/2021,19:00:00,TH-Suporte,26.4,19
10/08/2021,19:00:01,TH-Caruru,28.2,19
10/08/2021,20:00:00,TH-Suporte,26.4,20
10/08/2021,20:00:00,TH-Caruru,28.2,20
10/08/2021,20:00:01,TH teste,27.8,20
10/13/2021,04:07:51,TH-Caruru,29.0,04
10/13/2021,04:07:51,TH-Suporte,29.6,04
10/13/2021,04:07:51,TH teste,27.8,04
10/13/2021,07:00:00,TH teste,27.8,07
10/13/2021,07:00:00,TH-Suporte,29.6,07
10/13/2021,07:00:01,TH-Caruru,28.4,07
10/13/2021,08:00:00,TH-Caruru,28.4,08
10/13/2021,08:00:00,TH teste,27.8,08
10/13/2021,08:00:00,TH-Suporte,26.0,08
10/13/2021,09:00:00,TH-Caruru,28.4,09
10/13/2021,09:00:00,TH-Suporte,24.5,09
10/13/2021,09:00:01,TH teste,27.8,09
10/13/2021,10:00:00,TH-Suporte,24.2,10
10/13/2021,10:00:01,TH teste,27.8,10
10/13/2021,10:00:01,TH-Caruru,28.4,10
10/13/2021,11:00:00,TH-Caruru,28.4,11
10/13/2021,11:00:00,TH teste,27.8,11
10/13/2021,11:00:01,TH-Suporte,23.6,11
10/13/2021,12:00:02,TH-Caruru,28.4,12
10/13/2021,12:00:02,TH-Suporte,24.2,12
10/13/2021,12:00:02,TH teste,27.8,12
10/13/2021,13:00:00,TH teste,27.8,13
10/13/2021,13:00:00,TH-Suporte,23.8,13
10/13/2021,13:00:00,TH-Caruru,28.4,13
10/13/2021,14:00:00,TH teste,27.8,14
10/13/2021,14:00:00,TH-Suporte,23.2,14
10/13/2021,14:00:00,TH-Caruru,29.0,14
10/13/2021,15:00:00,TH-Caruru,29.0,15
10/13/2021,15:00:00,TH-Suporte,25.6,15
10/13/2021,15:00:01,TH teste,27.8,15
10/13/2021,16:00:00,TH-Caruru,29.0,16
10/13/2021,16:00:00,TH teste,27.8,16
10/13/2021,16:00:00,TH-Suporte,26.2,16
10/13/2021,17:00:00,TH teste,27.8,17
10/13/2021,17:00:01,TH-Caruru,29.0,17
10/13/2021,17:00:01,TH-Suporte,26.8,17
10/13/2021,18:00:01,TH-Suporte,27.4,18
10/13/2021,18:00:01,TH teste,27.8,18
10/13/2021,18:00:01,TH-Caruru,29.0,18
10/13/2021,19:00:00,TH-Caruru,29.0,19
10/13/2021,19:00:00,TH-Suporte,27.4,19
10/13/2021,19:00:01,TH teste,27.8,19
10/13/2021,20:00:00,TH-Suporte,28.0,20
10/13/2021,20:00:00,TH-Caruru,29.0,20
10/13/2021,20:00:02,TH teste,27.8,20
10/14/2021,07:00:00,TH-Suporte,28.8,07
10/14/2021,07:00:00,TH teste,27.8,07
10/14/2021,07:00:00,TH-Caruru,28.5,07
10/14/2021,08:00:00,TH-Suporte,27.6,08
10/14/2021,08:00:00,TH teste,27.8,08
10/14/2021,08:00:01,TH-Caruru,28.5,08
10/14/2021,09:00:00,TH-Suporte,24.8,09
10/14/2021,09:00:00,TH teste,27.8,09
10/14/2021,09:00:00,TH-Caruru,28.5,09
10/14/2021,10:00:00,TH-Suporte,24.8,10
10/14/2021,10:00:00,TH-Caruru,28.5,10
10/14/2021,10:00:00,TH teste,27.8,10
10/14/2021,11:00:00,TH-Caruru,28.5,11
10/14/2021,11:00:00,TH-Suporte,23.6,11
10/14/2021,11:00:01,TH teste,27.8,11
10/14/2021,12:00:02,TH-Suporte,23.1,12
10/14/2021,12:00:02,TH teste,27.8,12
