nome,data,hora,potencia,
Pow-AC1Triunfo,04/09/2021,17:00:00,87,24372093023256;0;0;87
Pow-AC1Triunfo,04/09/2021,18:00:00,0,
Pow-AC1Triunfo,04/09/2021,19:00:00,0,
Pow-AC1Triunfo,04/09/2021,20:00:00,0,
Pow-AC1Triunfo,04/09/2021,21:00:00,0,
Pow-AC1Triunfo,04/09/2021,22:00:00,0,
Pow-AC1Triunfo,04/09/2021,23:00:00,0,
Pow-AC1Triunfo,04/10/2021,00:00:00,0,
Pow-AC1Triunfo,04/10/2021,01:00:00,0,
Pow-AC1Triunfo,04/10/2021,02:00:00,0,
Pow-AC1Triunfo,04/10/2021,03:00:00,0,
Pow-AC1Triunfo,04/10/2021,04:00:00,0,
Pow-AC1Triunfo,04/10/2021,05:00:00,0,
Pow-AC1Triunfo,04/10/2021,06:00:00,0,
Pow-AC1Triunfo,04/10/2021,07:00:00,0,
Pow-AC1Triunfo,04/10/2021,08:00:00,1750,8981148564294;0;0;1750
Pow-AC1Triunfo,04/10/2021,09:00:00,1835,0855238095237;0;0;1835
Pow-AC1Triunfo,04/10/2021,10:00:00,1848,6422362869196;0;0;1848
Pow-AC1Triunfo,04/10/2021,11:00:00,396,94467353951893;0;0;396
Pow-AC1Triunfo,04/10/2021,12:00:00,0,
Pow-AC1Triunfo,04/10/2021,13:00:00,0,
Pow-AC1Triunfo,04/10/2021,14:00:00,0,
Pow-AC1Triunfo,04/10/2021,15:00:00,0,
Pow-AC1Triunfo,04/10/2021,16:00:00,0,
Pow-AC1Triunfo,04/10/2021,17:00:00,0,
Pow-AC1Triunfo,04/10/2021,18:00:00,0,
Pow-AC1Triunfo,04/10/2021,19:00:00,0,
Pow-AC1Triunfo,04/10/2021,20:00:00,0,
Pow-AC1Triunfo,04/10/2021,21:00:00,0,
Pow-AC1Triunfo,04/10/2021,22:00:00,0,
Pow-AC1Triunfo,04/10/2021,23:00:00,0,
Pow-AC1Triunfo,04/11/2021,00:00:00,0,
Pow-AC1Triunfo,04/11/2021,01:00:00,0,
Pow-AC1Triunfo,04/11/2021,02:00:00,0,
Pow-AC1Triunfo,04/11/2021,03:00:00,0,
