nome,data,hora,potencia,hora_simples
Pow-ACSuporte,25/10/2021,00:00:00,0,00
Pow-ACSuporte,25/10/2021,01:00:00,0,01
Pow-ACSuporte,25/10/2021,02:00:00,0,02
Pow-ACSuporte,25/10/2021,03:00:00,0,03
Pow-ACSuporte,25/10/2021,04:00:00,0,04
Pow-ACSuporte,25/10/2021,05:00:00,0,05
Pow-ACSuporte,25/10/2021,06:00:00,0,06
Pow-ACSuporte,25/10/2021,07:00:00,1452,07
Pow-ACSuporte,25/10/2021,08:00:00,2014,08
Pow-ACSuporte,25/10/2021,09:00:00,2074,09
Pow-ACSuporte,25/10/2021,10:00:00,2056,10
Pow-ACSuporte,25/10/2021,11:00:00,1971,11
Pow-ACSuporte,25/10/2021,12:00:00,1946,12
Pow-ACSuporte,25/10/2021,13:00:00,1949,13
Pow-ACSuporte,25/10/2021,14:00:00,2038,14
Pow-ACSuporte,25/10/2021,15:00:00,1997,15
Pow-ACSuporte,25/10/2021,16:00:00,1963,16
Pow-ACSuporte,25/10/2021,17:00:00,1076,17
Pow-ACSuporte,25/10/2021,18:00:00,0,18
Pow-ACSuporte,25/10/2021,19:00:00,0,19
Pow-ACSuporte,25/10/2021,20:00:00,0,20
Pow-ACSuporte,25/10/2021,21:00:00,0,21
Pow-ACSuporte,25/10/2021,22:00:00,0,22
Pow-ACSuporte,25/10/2021,23:00:00,0,23
Pow-ACSuporte,26/10/2021,00:00:00,0,00
Pow-ACSuporte,26/10/2021,01:00:00,0,01
Pow-ACSuporte,26/10/2021,02:00:00,0,02
Pow-ACSuporte,26/10/2021,03:00:00,0,03
Pow-ACSuporte,26/10/2021,04:00:00,0,04
Pow-ACSuporte,26/10/2021,05:00:00,0,05
Pow-ACSuporte,26/10/2021,06:00:00,0,06
Pow-ACSuporte,26/10/2021,07:00:00,1524,07
Pow-ACSuporte,26/10/2021,08:00:00,1778,08
Pow-ACSuporte,26/10/2021,09:00:00,1784,09
Pow-ACSuporte,26/10/2021,10:00:00,1891,10
Pow-ACSuporte,26/10/2021,11:00:00,1779,11
Pow-ACSuporte,26/10/2021,12:00:00,1866,12
Pow-ACSuporte,26/10/2021,13:00:00,1999,13
Pow-ACSuporte,26/10/2021,14:00:00,1983,14
Pow-ACSuporte,26/10/2021,15:00:00,1950,15
Pow-ACSuporte,26/10/2021,16:00:00,1997,16
Pow-ACSuporte,26/10/2021,17:00:00,1279,17
Pow-ACSuporte,26/10/2021,18:00:00,0,18
Pow-ACSuporte,26/10/2021,19:00:00,0,19
Pow-ACSuporte,26/10/2021,20:00:00,0,20
Pow-ACSuporte,26/10/2021,21:00:00,0,21
Pow-ACSuporte,26/10/2021,22:00:00,0,22
Pow-ACSuporte,26/10/2021,23:00:00,0,23
Pow-ACSuporte,27/10/2021,00:00:00,0,00
Pow-ACSuporte,27/10/2021,01:00:00,0,01
Pow-ACSuporte,27/10/2021,02:00:00,0,02
Pow-ACSuporte,27/10/2021,03:00:00,0,03
Pow-ACSuporte,27/10/2021,04:00:00,0,04
Pow-ACSuporte,27/10/2021,05:00:00,0,05
Pow-ACSuporte,27/10/2021,06:00:00,0,06
Pow-ACSuporte,27/10/2021,07:00:00,1469,07
Pow-ACSuporte,27/10/2021,08:00:00,1832,08
Pow-ACSuporte,27/10/2021,09:00:00,1917,09
Pow-ACSuporte,27/10/2021,10:00:00,1964,10
Pow-ACSuporte,27/10/2021,11:00:00,1948,11
Pow-ACSuporte,27/10/2021,12:00:00,1986,12
Pow-ACSuporte,27/10/2021,13:00:00,1905,13
Pow-ACSuporte,27/10/2021,14:00:00,2001,14
Pow-ACSuporte,27/10/2021,15:00:00,1985,15
Pow-ACSuporte,27/10/2021,16:00:00,1891,16
Pow-ACSuporte,27/10/2021,17:00:00,564,17
Pow-ACSuporte,27/10/2021,18:00:00,0,18
Pow-ACSuporte,27/10/2021,19:00:00,0,19
Pow-ACSuporte,27/10/2021,20:00:00,0,20
Pow-ACSuporte,27/10/2021,21:00:00,0,21
Pow-ACSuporte,27/10/2021,22:00:00,0,22
Pow-ACSuporte,27/10/2021,23:00:00,0,23
Pow-ACSuporte,28/10/2021,00:00:00,0,00
Pow-ACSuporte,28/10/2021,01:00:00,0,01
Pow-ACSuporte,28/10/2021,02:00:00,0,02
Pow-ACSuporte,28/10/2021,03:00:00,0,03
Pow-ACSuporte,28/10/2021,04:00:00,0,04
Pow-ACSuporte,28/10/2021,05:00:00,0,05
Pow-ACSuporte,28/10/2021,06:00:00,0,06
Pow-ACSuporte,28/10/2021,07:00:00,1593,07
Pow-ACSuporte,28/10/2021,08:00:00,1885,08
Pow-ACSuporte,28/10/2021,09:00:00,1822,09
Pow-ACSuporte,28/10/2021,10:00:00,1859,10
Pow-ACSuporte,28/10/2021,11:00:00,1915,11
Pow-ACSuporte,28/10/2021,12:00:00,1897,12
Pow-ACSuporte,28/10/2021,13:00:00,1994,13
Pow-ACSuporte,28/10/2021,14:00:00,2125,14
Pow-ACSuporte,28/10/2021,15:00:00,2098,15
Pow-ACSuporte,28/10/2021,16:00:00,2078,16
Pow-ACSuporte,28/10/2021,17:00:00,1081,17
Pow-ACSuporte,28/10/2021,18:00:00,0,18
Pow-ACSuporte,28/10/2021,19:00:00,0,19
Pow-ACSuporte,28/10/2021,20:00:00,0,20
Pow-ACSuporte,28/10/2021,21:00:00,0,21
Pow-ACSuporte,28/10/2021,22:00:00,0,22
Pow-ACSuporte,28/10/2021,23:00:00,0,23
Pow-ACSuporte,29/10/2021,00:00:00,0,00
Pow-ACSuporte,29/10/2021,01:00:00,0,01
Pow-ACSuporte,29/10/2021,02:00:00,0,02
Pow-ACSuporte,29/10/2021,03:00:00,0,03
Pow-ACSuporte,29/10/2021,04:00:00,0,04
Pow-ACSuporte,29/10/2021,05:00:00,0,05
Pow-ACSuporte,29/10/2021,06:00:00,0,06
Pow-ACSuporte,29/10/2021,07:00:00,1567,07
Pow-ACSuporte,29/10/2021,08:00:00,1976,08
Pow-ACSuporte,29/10/2021,09:00:00,1866,09
Pow-ACSuporte,29/10/2021,10:00:00,1898,10
Pow-ACSuporte,29/10/2021,11:00:00,2151,11
Pow-ACSuporte,29/10/2021,12:00:00,2180,12
Pow-ACSuporte,29/10/2021,13:00:00,2169,13
Pow-ACSuporte,29/10/2021,14:00:00,2162,14
Pow-ACSuporte,29/10/2021,15:00:00,2135,15
Pow-ACSuporte,29/10/2021,16:00:00,2090,16
Pow-ACSuporte,29/10/2021,17:00:00,1951,17
Pow-ACSuporte,29/10/2021,18:00:00,0,18
Pow-ACSuporte,29/10/2021,19:00:00,0,19
Pow-ACSuporte,29/10/2021,20:00:00,0,20
Pow-ACSuporte,29/10/2021,21:00:00,0,21
Pow-ACSuporte,29/10/2021,22:00:00,0,22
Pow-ACSuporte,29/10/2021,23:00:00,0,23
