nome,data,hora,potencia,hora_simples,,
Pow-ACSuporte,04/01/2021,00:00:00,2029,00,,
Pow-ACSuporte,04/01/2021,01:00:00,2029,01,,
Pow-ACSuporte,04/01/2021,02:00:00,2029,02,,
Pow-ACSuporte,04/01/2021,03:00:00,2029,03,,
Pow-ACSuporte,04/01/2021,04:00:00,2029,04,,
Pow-ACSuporte,04/01/2021,05:00:00,2029,05,,
Pow-ACSuporte,04/01/2021,06:00:00,2029,06,,
Pow-ACSuporte,04/01/2021,14:00:00,2053,14,,
Pow-ACSuporte,04/01/2021,15:00:00,2024,15,,
Pow-ACSuporte,04/01/2021,16:00:00,1978,16,,
Pow-ACSuporte,04/01/2021,17:00:00,1953,17,,
Pow-ACSuporte,04/01/2021,18:00:00,494,18,,
Pow-ACSuporte,04/01/2021,19:00:00,0,19,,
Pow-ACSuporte,04/01/2021,20:00:00,0,20,,
Pow-ACSuporte,04/01/2021,21:00:00,0,21,,
Pow-ACSuporte,04/01/2021,22:00:00,0,22,,
Pow-ACSuporte,04/01/2021,23:00:00,0,23,,
Pow-ACSuporte,04/02/2021,00:00:00,0,00,,
Pow-ACSuporte,04/02/2021,01:00:00,0,01,,
Pow-ACSuporte,04/02/2021,02:00:00,0,02,,
Pow-ACSuporte,04/02/2021,03:00:00,0,03,,
Pow-ACSuporte,04/02/2021,04:00:00,0,04,,
Pow-ACSuporte,04/02/2021,05:00:00,0,05,,
Pow-ACSuporte,04/02/2021,06:00:00,0,06,,
Pow-ACSuporte,04/02/2021,07:00:00,0,07,,
Pow-ACSuporte,04/02/2021,08:00:00,0,08,,
Pow-ACSuporte,04/02/2021,09:00:00,0,09,,
Pow-ACSuporte,04/02/2021,10:00:00,0,10,,
Pow-ACSuporte,04/02/2021,11:00:00,0,11,,
Pow-ACSuporte,04/02/2021,12:00:00,0,12,,
Pow-ACSuporte,04/02/2021,13:00:00,0,13,,
Pow-ACSuporte,04/02/2021,14:00:00,0,14,,
Pow-ACSuporte,04/02/2021,15:00:00,0,15,,
Pow-ACSuporte,04/02/2021,16:00:00,0,16,,
Pow-ACSuporte,04/02/2021,17:00:00,0,17,,
Pow-ACSuporte,04/02/2021,18:00:00,0,18,,
Pow-ACSuporte,04/02/2021,19:00:00,0,19,,
Pow-ACSuporte,04/02/2021,20:00:00,0,20,,
Pow-ACSuporte,04/02/2021,21:00:00,0,21,,
Pow-ACSuporte,04/02/2021,22:00:00,0,22,,
Pow-ACSuporte,04/02/2021,23:00:00,0,23,,
Pow-ACSuporte,04/03/2021,00:00:00,0,00,,
Pow-ACSuporte,04/03/2021,01:00:00,0,01,,
Pow-ACSuporte,04/03/2021,02:00:00,0,02,,
Pow-ACSuporte,04/03/2021,03:00:00,0,03,,
Pow-ACSuporte,04/03/2021,04:00:00,0,04,,
Pow-ACSuporte,04/03/2021,05:00:00,0,05,,
Pow-ACSuporte,04/03/2021,06:00:00,0,06,,
Pow-ACSuporte,04/03/2021,07:00:00,0,07,,
Pow-ACSuporte,04/03/2021,08:00:00,0,08,,
Pow-ACSuporte,04/03/2021,09:00:00,0,09,,
Pow-ACSuporte,04/03/2021,10:00:00,0,10,,
Pow-ACSuporte,04/03/2021,11:00:00,0,11,,
Pow-ACSuporte,04/03/2021,12:00:00,0,12,,
Pow-ACSuporte,04/03/2021,13:00:00,0,13,,
Pow-ACSuporte,04/03/2021,14:00:00,0,14,,
Pow-ACSuporte,04/03/2021,15:00:00,0,15,,
Pow-ACSuporte,04/03/2021,16:00:00,0,16,,
Pow-ACSuporte,04/03/2021,17:00:00,0,17,,
Pow-ACSuporte,04/03/2021,18:00:00,0,18,,
Pow-ACSuporte,04/03/2021,19:00:00,0,19,,
Pow-ACSuporte,04/03/2021,20:00:00,0,20,,
Pow-ACSuporte,04/03/2021,21:00:00,0,21,,
Pow-ACSuporte,04/03/2021,22:00:00,0,22,,
Pow-ACSuporte,04/03/2021,23:00:00,0,23,,
Pow-ACSuporte,04/04/2021,00:00:00,0,00,,
Pow-ACSuporte,04/04/2021,01:00:00,0,01,,
Pow-ACSuporte,04/04/2021,02:00:00,0,02,,
Pow-ACSuporte,04/04/2021,03:00:00,0,03,,
Pow-ACSuporte,04/04/2021,04:00:00,0,04,,
Pow-ACSuporte,04/04/2021,05:00:00,0,05,,
Pow-ACSuporte,04/04/2021,06:00:00,0,06,,
Pow-ACSuporte,04/04/2021,07:00:00,0,07,,
Pow-ACSuporte,04/04/2021,08:00:00,0,08,,
Pow-ACSuporte,04/04/2021,09:00:00,0,09,,
Pow-ACSuporte,04/04/2021,10:00:00,0,10,,
Pow-ACSuporte,04/04/2021,11:00:00,0,11,,
Pow-ACSuporte,04/04/2021,12:00:00,0,12,,
Pow-ACSuporte,04/04/2021,13:00:00,0,13,,
Pow-ACSuporte,04/04/2021,14:00:00,0,14,,
Pow-ACSuporte,04/04/2021,15:00:00,0,15,,
Pow-ACSuporte,04/04/2021,16:00:00,0,16,,
Pow-ACSuporte,04/04/2021,17:00:00,0,17,,
Pow-ACSuporte,04/04/2021,18:00:00,0,18,,
