data,hora,sala,temperatura,hora_simples
09/01/2021,00:56:17,406,Authentication failed,00
09/01/2021,00:56:17,406,Authentication failed,00
09/01/2021,00:56:17,406,Authentication failed,00
09/01/2021,00:56:40,TH teste,27.8,00
09/01/2021,00:56:40,TH-Caruru,25.1,00
09/01/2021,00:56:40,TH-Suporte,26.7,00
09/01/2021,09:05:42,TH teste,27.8,09
09/01/2021,09:05:42,TH-Suporte,24.3,09
09/01/2021,09:05:42,TH-Caruru,24.9,09
09/01/2021,10:00:00,TH teste,27.8,10
09/01/2021,10:00:00,TH-Suporte,22.5,10
09/01/2021,10:00:01,TH-Caruru,24.9,10
09/01/2021,11:00:00,TH-Suporte,22.4,11
09/01/2021,11:00:01,TH teste,27.8,11
09/01/2021,11:00:01,TH-Caruru,24.9,11
09/01/2021,12:00:00,TH-Caruru,24.9,12
09/01/2021,12:00:00,TH-Suporte,22.4,12
09/01/2021,12:00:01,TH teste,27.8,12
09/01/2021,13:00:00,TH-Caruru,24.9,13
09/01/2021,13:00:00,TH-Suporte,22.4,13
09/01/2021,13:00:01,TH teste,27.8,13
09/01/2021,14:00:00,TH-Suporte,22.4,14
09/01/2021,14:00:00,TH-Caruru,25.5,14
09/01/2021,14:00:01,TH teste,27.8,14
09/01/2021,15:00:00,TH-Suporte,22.3,15
09/01/2021,15:00:00,TH-Caruru,25.5,15
09/01/2021,15:00:01,TH teste,27.8,15
09/01/2021,16:00:00,TH-Suporte,22.4,16
09/01/2021,16:00:00,TH teste,27.8,16
09/01/2021,16:00:01,TH-Caruru,25.5,16
09/01/2021,17:00:00,TH-Suporte,22.0,17
09/01/2021,17:00:00,TH teste,27.8,17
09/01/2021,17:00:01,TH-Caruru,25.5,17
09/01/2021,18:00:00,TH teste,27.8,18
09/01/2021,18:00:00,TH-Caruru,25.5,18
09/01/2021,18:00:01,TH-Suporte,25.0,18
09/01/2021,19:00:00,TH teste,27.8,19
09/01/2021,19:00:00,TH-Caruru,25.5,19
09/01/2021,19:00:00,TH-Suporte,25.6,19
