data,hora_utc,hora_simples,temperatura
01/04/2021,0000,00,23
01/04/2021,0100,01,22.9
01/04/2021,0200,02,22.8
01/04/2021,0300,03,22.6
01/04/2021,0400,04,22.4
01/04/2021,0500,05,22.1
01/04/2021,0600,06,22
01/04/2021,0700,07,22
01/04/2021,0800,08,22.2
01/04/2021,0900,09,22.4
01/04/2021,1000,10,23.4
01/04/2021,1100,11,25
01/04/2021,1200,12,26.3
01/04/2021,1300,13,28.4
01/04/2021,1400,14,28.5
01/04/2021,1500,15,28.8
01/04/2021,1600,16,29.7
01/04/2021,1700,17,30.5
01/04/2021,1800,18,29.4
01/04/2021,1900,19,28.3
01/04/2021,2000,20,27
01/04/2021,2100,21,25.6
01/04/2021,2200,22,24.6
01/04/2021,2300,23,23.9
02/04/2021,0000,00,23.5
02/04/2021,0100,01,23.2
02/04/2021,0200,02,22.9
02/04/2021,0300,03,22.8
02/04/2021,0400,04,22.6
02/04/2021,0500,05,22.6
02/04/2021,0600,06,22.4
02/04/2021,0700,07,21.9
02/04/2021,0800,08,21.7
02/04/2021,0900,09,22
02/04/2021,1000,10,22.7
02/04/2021,1100,11,24.7
02/04/2021,1200,12,26.6
02/04/2021,1300,13,27.4
02/04/2021,1400,14,29
02/04/2021,1500,15,29.1
02/04/2021,1600,16,30.2
02/04/2021,1700,17,30.8
02/04/2021,1800,18,30.5
02/04/2021,1900,19,29.4
02/04/2021,2000,20,28.1
02/04/2021,2100,21,26.7
02/04/2021,2200,22,25.2
02/04/2021,2300,23,24.2
03/04/2021,0000,00,23.3
03/04/2021,0100,01,22.7
03/04/2021,0200,02,22.4
03/04/2021,0300,03,22.2
03/04/2021,0400,04,21.8
03/04/2021,0500,05,21.7
03/04/2021,0600,06,21.6
03/04/2021,0700,07,21.4
03/04/2021,0800,08,20.9
03/04/2021,0900,09,21.6
03/04/2021,1000,10,23.3
03/04/2021,1100,11,24.4
03/04/2021,1200,12,26.2
03/04/2021,1300,13,28.2
03/04/2021,1400,14,28.6
03/04/2021,1500,15,30.1
03/04/2021,1600,16,28.2
03/04/2021,1700,17,25.9
03/04/2021,1800,18,24.2
03/04/2021,1900,19,24.6
03/04/2021,2000,20,23.8
03/04/2021,2100,21,23.3
03/04/2021,2200,22,22.9
03/04/2021,2300,23,22.8
04/04/2021,0000,00,22.6
04/04/2021,0100,01,22.5
04/04/2021,0200,02,22.1
04/04/2021,0300,03,21.7
04/04/2021,0400,04,21.9
04/04/2021,0500,05,21.7
04/04/2021,0600,06,21.9
04/04/2021,0700,07,21.8
04/04/2021,0800,08,21.8
04/04/2021,0900,09,22.3
04/04/2021,1000,10,23
04/04/2021,1100,11,24
04/04/2021,1200,12,26.1
04/04/2021,1300,13,26.5
04/04/2021,1400,14,27.8
04/04/2021,1500,15,28.3
04/04/2021,1600,16,28.9
04/04/2021,1700,17,28.7
04/04/2021,1800,18,29.3
04/04/2021,1900,19,28.7
04/04/2021,2000,20,26.4
04/04/2021,2100,21,25.7
04/04/2021,2200,22,24.1
04/04/2021,2300,23,23.6
05/04/2021,0000,00,23.3
05/04/2021,0100,01,23.2
05/04/2021,0200,02,23
05/04/2021,0300,03,22.5
05/04/2021,0400,04,22.4
05/04/2021,0500,05,22.1
05/04/2021,0600,06,22.2
05/04/2021,0700,07,22.1
05/04/2021,0800,08,22
05/04/2021,0900,09,21.8
05/04/2021,1000,10,22.7
05/04/2021,1100,11,24.3
05/04/2021,1200,12,23.2
05/04/2021,1300,13,25
05/04/2021,1400,14,23.7
05/04/2021,1500,15,26.8
05/04/2021,1600,16,28.8
05/04/2021,1700,17,27.5
05/04/2021,1800,18,28
05/04/2021,1900,19,27.1
05/04/2021,2000,20,26
05/04/2021,2100,21,24.6
05/04/2021,2200,22,24
05/04/2021,2300,23,23.1
06/04/2021,0000,00,22.6
06/04/2021,0100,01,22.2
06/04/2021,0200,02,21.9
06/04/2021,0300,03,21.7
06/04/2021,0400,04,21.4
06/04/2021,0500,05,21.1
06/04/2021,0600,06,20.9
06/04/2021,0700,07,21.2
06/04/2021,0800,08,21.2
06/04/2021,0900,09,21.8
06/04/2021,1000,10,23
06/04/2021,1100,11,23.8
06/04/2021,1200,12,25.7
06/04/2021,1300,13,27
06/04/2021,1400,14,28.1
06/04/2021,1500,15,29.7
06/04/2021,1600,16,30.4
06/04/2021,1700,17,30.4
06/04/2021,1800,18,30.2
06/04/2021,1900,19,29.5
06/04/2021,2000,20,27.5
06/04/2021,2100,21,26.1
06/04/2021,2200,22,24.7
06/04/2021,2300,23,23.7
07/04/2021,0000,00,22.8
07/04/2021,0100,01,22.4
07/04/2021,0200,02,22
07/04/2021,0300,03,21.7
07/04/2021,0400,04,21.8
07/04/2021,0500,05,21.6
07/04/2021,0600,06,21.4
07/04/2021,0700,07,21.6
07/04/2021,0800,08,21.7
07/04/2021,0900,09,22.2
07/04/2021,1000,10,23
07/04/2021,1100,11,24
07/04/2021,1200,12,26.1
07/04/2021,1300,13,27.5
07/04/2021,1400,14,29.4
07/04/2021,1500,15,30.2
07/04/2021,1600,16,29.8
07/04/2021,1700,17,29.5
07/04/2021,1800,18,29.5
07/04/2021,1900,19,29
07/04/2021,2000,20,27.5
07/04/2021,2100,21,26.1
07/04/2021,2200,22,25
07/04/2021,2300,23,24.1
08/04/2021,0000,00,23.4
08/04/2021,0100,01,23
08/04/2021,0200,02,22.5
08/04/2021,0300,03,22.5
08/04/2021,0400,04,22.2
08/04/2021,0500,05,21.9
08/04/2021,0600,06,21.7
08/04/2021,0700,07,21.8
08/04/2021,0800,08,21.7
08/04/2021,0900,09,22
08/04/2021,1000,10,23.1
08/04/2021,1100,11,24.7
08/04/2021,1200,12,25.9
08/04/2021,1300,13,27.8
08/04/2021,1400,14,28.2
08/04/2021,1500,15,29.4
08/04/2021,1600,16,29.9
08/04/2021,1700,17,30.3
08/04/2021,1800,18,29.6
08/04/2021,1900,19,28.5
08/04/2021,2000,20,27
08/04/2021,2100,21,25.7
08/04/2021,2200,22,24.8
08/04/2021,2300,23,24
09/04/2021,0000,00,23.4
09/04/2021,0100,01,23.1
09/04/2021,0200,02,23
09/04/2021,0300,03,22.8
09/04/2021,0400,04,22.5
09/04/2021,0500,05,22.3
09/04/2021,0600,06,22.2
09/04/2021,0700,07,22.2
09/04/2021,0800,08,22.1
09/04/2021,0900,09,22.5
09/04/2021,1000,10,24.3
09/04/2021,1100,11,24.7
09/04/2021,1200,12,25.2
09/04/2021,1300,13,27
09/04/2021,1400,14,28.7
09/04/2021,1500,15,28.7
09/04/2021,1600,16,29.3
09/04/2021,1700,17,29.1
09/04/2021,1800,18,28.5
09/04/2021,1900,19,27.6
09/04/2021,2000,20,26.9
09/04/2021,2100,21,26.1
09/04/2021,2200,22,25.4
09/04/2021,2300,23,21.7
